,away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
11460,A. Riley3B,3,2,2,1,1,2,0,.251,.324,.420,J. JonesLF,2,1,1,0,0,1,1,.222,.364,.500
11461,S. MurphyC,5,0,2,0,0,0,1,.213,.262,.393,D. LeMahieu3B,2,0,0,1,0,1,0,.194,.292,.194
11462,A. DuvallLF,5,1,1,0,0,0,2,.174,.253,.305,J. TrevinoC,3,0,0,0,0,0,1,.252,.306,.420
11463,R. LaureanoRF,5,0,3,1,0,0,0,.353,.353,.706,B. Rice1B,3,0,0,0,0,0,2,.182,.286,.182
11464,O. ArciaSS,4,0,0,0,0,0,0,.214,.246,.346,O. Cabrera2B,3,0,0,0,0,0,2,.231,.272,.341
11465,team,41,8,14,7,3,5,9,,,,team,27,1,3,1,0,3,12,,,
11466,gameId: 401569602,,,,,,,,,,,,,,,,,,,,,
11467,G. HendersonSS,5,3,3,3,2,1,1,.284,.381,.610,J. Altuve2B,5,2,3,2,0,0,0,.301,.351,.460
11468,A. RutschmanDH,5,2,5,0,0,0,0,.305,.352,.485,A. Bregman3B,5,2,2,1,0,0,1,.250,.311,.405
11469,R. O'HearnLF,5,1,1,1,0,0,0,.287,.344,.470,Y. AlvarezDH,3,1,0,0,0,1,2,.293,.364,.518
11470,R. Mountcastle1B,4,1,1,2,0,0,0,.277,.323,.478,aC. HummelPH-DH,1,0,0,0,0,0,0,.000,.000,.000
11471,A. SantanderRF,5,1,3,3,1,0,1,.237,.309,.515,Y. DiazC,4,2,1,1,0,1,0,.254,.286,.398
11472,J. Westburg3B,5,0,1,0,0,0,1,.281,.336,.502,J. MeyersCF,5,1,1,3,1,0,1,.254,.316,.426
11473,C. MullinsCF,5,1,2,0,0,0,1,.202,.248,.344,J. Singleton1B,5,2,2,2,0,0,3,.222,.321,.329
11474,J. Mateo2B,4,1,1,2,1,0,1,.236,.281,.443,M. DubonSS,4,2,2,1,0,1,0,.301,.326,.421
11475,aC. CowserPH,1,0,0,0,0,0,0,.228,.321,.427,J. LoperfidoLF,4,1,3,2,0,0,1,.372,.413,.512
11476,J. McCannC,3,1,0,0,0,1,2,.194,.214,.296,T. CabbageRF,3,1,0,0,0,1,2,.279,.295,.419
11477,bA. HaysPH,1,0,1,0,0,0,0,.246,.304,.386,team,39,14,14,12,1,4,10,,,
11478,team,43,11,18,11,4,2,7,,,,,,,,,,,,,,
11479,gameId: 401569603,,,,,,,,,,,,,,,,,,,,,
11480,T. PhamLF,4,1,2,1,1,0,0,.282,.353,.410,M. VierlingCF,4,0,1,0,0,0,1,.256,.293,.444
11481,N. Lopez2B,4,0,0,0,0,0,2,.229,.288,.259,C. Keith2B,4,0,1,0,0,0,0,.229,.278,.303
11482,L. Robert Jr.DH,3,0,0,0,0,1,1,.190,.269,.476,R. GreeneLF,3,0,1,0,0,0,1,.256,.350,.484
11483,G. SheetsRF,4,0,2,0,0,0,1,.233,.335,.399,M. Canha1B,2,0,0,0,0,1,0,.244,.349,.372
11484,C. JulksPR-RF,0,0,0,0,0,0,0,.233,.310,.400,G. Urshela3B,3,0,0,0,0,0,0,.278,.320,.354
11485,A. Vaughn1B,4,0,1,0,0,0,1,.239,.290,.386,W. PerezRF,3,0,0,0,0,0,0,.254,.310,.383
11486,O. ColasCF,3,0,0,0,0,1,2,.273,.368,.273,J. MalloyDH,3,1,1,0,0,0,0,.167,.280,.357
11487,P. DeJongSS,3,0,1,0,0,0,0,.237,.287,.466,C. KellyC,3,1,1,2,1,0,0,.238,.324,.373
11488,K. LeeC,3,0,0,0,0,0,1,.240,.280,.374,R. KreidlerSS,3,0,0,0,0,0,1,.118,.211,.118
11489,aA. BenintendiPH,1,0,0,0,0,0,0,.205,.247,.307,team,28,2,5,2,1,1,3,,,
11490,L. Sosa3B,3,0,0,0,0,0,1,.225,.262,.333,,,,,,,,,,,
11491,team,32,1,6,1,1,2,9,,,,,,,,,,,,,,
11492,gameId: 401569605,,,,,,,,,,,,,,,,,,,,,
11493,B. Turang2B,5,1,2,1,0,0,2,.289,.352,.399,L. Arraez1B,5,1,1,2,1,0,0,.324,.351,.395
11494,W. ContrerasC,5,1,1,1,0,0,2,.298,.359,.450,F. Tatis Jr.RF,1,0,0,0,0,0,0,.279,.354,.468
11495,C. YelichLF,5,1,2,1,0,0,1,.324,.402,.500,aT. WadePH-RF,3,0,0,0,0,0,0,.247,.330,.270
11496,W. AdamesSS,5,0,2,0,0,0,2,.247,.338,.444,J. ProfarLF,4,0,1,0,0,0,0,.320,.415,.483
11497,S. FrelickCF,3,0,1,0,0,0,1,.257,.335,.326,J. AzocarPR-LF,1,1,0,0,0,0,0,.222,.273,.250
11498,bG. SanchezPH,1,0,1,0,0,0,0,.224,.300,.413,J. Cronenworth2B,5,4,5,2,1,0,0,.266,.330,.464
11499,R. Hoskins1B,4,0,1,1,0,0,3,.222,.314,.412,M. Machado3B,5,2,4,1,0,0,0,.263,.318,.387
11500,T. BlackDH,3,1,0,0,0,1,1,.185,.267,.259,J. MerrillCF,5,0,2,1,0,0,1,.281,.317,.426
11501,J. Ortiz3B,3,0,0,0,0,1,2,.269,.379,.447,D. PeraltaDH,1,0,0,0,0,1,0,.217,.333,.261
11502,J. ChourioRF,3,1,1,0,0,0,1,.226,.276,.356,bD. SolanoPH-DH,2,0,1,2,0,1,0,.277,.351,.406
