,away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
19620,aA. IbanezPH,1,0,0,0,0,0,0,.256,.297,.384,,,,,,,,,,,
19621,R. KreidlerSS,0,0,0,0,0,0,0,.136,.208,.205,,,,,,,,,,,
19622,D. DinglerC,4,0,1,1,0,0,1,.190,.227,.381,,,,,,,,,,,
19623,team,38,5,10,5,0,5,11,,,,,,,,,,,,,,
19624,gameId: 401570394,,,,,,,,,,,,,,,,,,,,,
19625,J. Altuve2B,4,1,2,2,1,0,0,.299,.352,.441,C. CowserLF-CF,4,2,2,1,1,0,1,.249,.326,.454
19626,A. BregmanDH,5,0,0,0,0,0,0,.258,.315,.444,A. RutschmanDH,3,1,1,0,0,1,0,.262,.326,.419
19627,Y. DiazC,4,1,1,0,0,0,0,.303,.329,.461,G. HendersonSS,4,1,0,0,0,0,0,.284,.371,.550
19628,J. PenaSS,4,2,2,2,1,0,1,.277,.320,.408,A. SantanderRF,4,2,2,4,1,0,1,.238,.305,.526
19629,J. MeyersCF,4,0,2,1,0,0,2,.233,.300,.390,R. O'Hearn1B,4,0,1,0,0,0,0,.272,.348,.436
19630,S. Whitcomb3B,2,0,1,0,0,2,0,.286,.423,.381,C. MullinsCF,1,0,0,0,0,1,1,.225,.288,.396
19631,M. DubonRF-LF,3,0,1,0,0,0,0,.250,.281,.358,A. SlaterLF,2,1,1,0,0,0,1,.400,.500,.600
19632,Z. Dezenzo1B,2,1,1,0,0,0,1,.206,.250,.324,R. Urias3B,4,0,1,1,0,0,1,.244,.316,.404
19633,aV. CaratiniPH-1B,2,0,0,0,0,0,1,.276,.329,.436,J. Holliday2B,4,0,0,0,0,0,3,.168,.223,.327
19634,C. McCormickLF,2,0,0,0,0,0,0,.192,.257,.280,J. McCannC,4,0,0,0,0,0,1,.221,.271,.331
19635,bB. GamelPH-RF,2,0,0,0,0,0,0,.400,.500,.400,team,34,7,8,6,2,2,9,,,
19636,team,34,5,10,5,2,2,5,,,,,,,,,,,,,,
19637,gameId: 401570395,,,,,,,,,,,,,,,,,,,,,
19638,J. ChourioLF,5,1,2,1,0,0,1,.275,.319,.445,L. ButlerRF,4,1,1,2,1,0,0,.242,.303,.457
19639,B. PerkinsCF,5,1,2,0,0,0,0,.260,.331,.367,B. RookerDH,3,0,0,0,0,1,1,.285,.361,.557
19640,W. ContrerasC,4,1,1,0,0,1,1,.287,.361,.468,J. BledayCF,4,0,0,0,0,0,2,.241,.323,.445
19641,W. AdamesSS,3,2,1,0,0,2,2,.248,.335,.443,M. AndujarLF,4,0,1,0,0,0,0,.285,.321,.379
19642,G. SanchezDH,4,2,2,3,0,1,0,.241,.324,.417,S. LangeliersC,4,1,1,0,0,0,1,.225,.291,.450
19643,R. Hoskins1B,4,1,1,4,1,0,2,.217,.302,.425,S. Brown1B,3,1,2,0,0,1,0,.226,.287,.372
19644,J. Ortiz3B,5,1,2,1,1,0,2,.249,.345,.408,Z. Gelof2B,3,0,0,0,0,1,1,.197,.267,.359
19645,A. Monasterio2B,5,1,1,0,0,0,0,.210,.319,.280,D. Hernaiz3B,3,0,0,1,0,1,0,.196,.267,.243
19646,S. FrelickRF,4,1,2,0,0,0,0,.264,.334,.339,M. SchuemannSS,4,0,1,0,0,0,1,.231,.329,.319
19647,team,39,11,14,9,2,4,8,,,,team,32,3,6,3,1,4,6,,,
19648,gameId: 401570396,,,,,,,,,,,,,,,,,,,,,
19649,F. LindorSS,4,0,1,0,0,0,0,.268,.340,.479,L. ArraezDH,5,1,3,2,1,0,0,.309,.336,.385
19650,M. Vientos3B,4,0,0,0,0,0,3,.278,.334,.549,J. ProfarLF,5,0,1,0,0,0,1,.289,.386,.471
19651,J.D. MartinezDH,3,0,0,0,0,0,2,.251,.336,.436,T. WadePR-LF,0,1,0,0,0,0,0,.224,.297,.240
19652,P. Alonso1B,3,0,0,0,0,0,2,.245,.333,.468,J. Cronenworth1B,4,0,1,1,0,1,1,.246,.321,.406
19653,S. MarteRF,3,0,1,0,0,0,2,.279,.327,.415,M. Machado3B,5,0,3,1,0,0,0,.270,.321,.448
19654,J. Iglesias2B,3,0,0,0,0,0,1,.331,.382,.472,X. Bogaerts2B,5,0,2,0,0,0,2,.272,.318,.373
19655,J. McNeilLF,3,0,0,0,0,0,2,.239,.300,.390,J. MerrillCF,4,1,1,0,0,0,0,.288,.318,.484
19656,F. AlvarezC,3,0,0,0,0,0,1,.240,.306,.389,D. PeraltaRF,3,1,2,0,0,1,0,.278,.342,.432
19657,H. BaderCF,3,0,0,0,0,0,1,.253,.299,.378,B. JohnsonPR-RF,0,0,0,0,0,0,0,.228,.302,.263
19658,team,29,0,2,0,0,0,14,,,,K. HigashiokaC,4,2,2,3,1,0,0,.226,.271,.516
19659,,,,,,,,,,,,M. McCoySS,4,1,1,0,0,0,2,.375,.500,.375
19660,,,,,,,,,,,,team,39,7,16,7,2,2,6,,,
19661,gameId: 401570397,,,,,,,,,,,,,,,,,,,,,
19662,K. SchwarberDH,5,0,0,0,0,0,3,.244,.372,.466,M. Massey2B,4,1,2,0,0,0,0,.269,.294,.462
19663,T. TurnerSS,5,0,0,0,0,0,3,.298,.340,.464,bM. GarciaPH-2B,1,0,0,0,0,0,0,.236,.285,.340
19664,B. Harper1B,4,2,2,0,0,0,0,.275,.364,.522,B. Witt Jr.SS,5,0,1,0,0,0,1,.348,.398,.611
19665,A. Bohm3B,4,1,1,0,0,0,1,.295,.348,.472,V. Pasquantino1B,5,2,2,1,0,0,0,.267,.322,.452
19666,N. CastellanosRF,4,0,2,1,0,0,0,.248,.303,.413,S. PerezC,4,1,2,3,1,0,1,.276,.334,.474
19667,B. Stott2B,3,0,1,1,0,0,1,.235,.309,.348,M. MelendezLF,4,1,1,0,0,0,0,.207,.267,.410
19668,J.T. RealmutoC,4,1,2,0,0,0,0,.256,.316,.389,H. RenfroeRF,2,2,1,2,1,2,0,.238,.312,.401
19669,B. MarshCF,4,0,2,1,0,0,0,.241,.316,.404,A. FrazierDH,3,0,0,0,0,0,0,.215,.291,.300
19670,A. HaysLF,4,0,1,0,0,0,0,.262,.279,.381,aF. FerminPH-DH,1,0,1,0,0,0,0,.304,.353,.427
19671,team,37,4,11,3,0,0,8,,,,P. DeJong3B,3,0,2,1,0,1,1,.311,.373,.578
19672,,,,,,,,,,,,K. IsbelCF,4,0,0,0,0,0,1,.233,.286,.379
19673,,,,,,,,,,,,team,36,7,12,7,2,3,4,,,
19674,gameId: 401570398,,,,,,,,,,,,,,,,,,,,,
19675,T. FitzgeraldSS,5,0,0,0,0,0,4,.300,.354,.580,L. Raley1B-RF,3,1,2,2,1,1,0,.238,.314,.438
19676,L. Wade Jr.1B,3,2,2,1,1,2,1,.281,.410,.397,J. RodriguezCF,3,0,0,0,0,2,1,.258,.311,.362
19677,H. RamosLF,5,2,2,2,1,0,2,.285,.341,.501,C. RaleighC,3,0,0,0,0,2,1,.210,.303,.433
19678,M. ConfortoDH,5,1,1,2,1,0,3,.237,.315,.444,R. ArozarenaLF,5,0,0,0,0,0,2,.210,.366,.309
19679,M. Chapman3B,4,0,0,0,0,0,2,.243,.332,.438,J. Polanco2B,4,1,0,0,0,1,2,.219,.304,.362
19680,M. YastrzemskiRF,4,0,0,0,0,0,1,.237,.304,.412,M. HanigerDH,5,1,2,0,0,0,2,.213,.291,.354
19681,T. Estrada2B,4,0,1,0,0,0,2,.217,.249,.351,D. CanzoneRF,2,0,0,0,0,0,1,.199,.270,.386
19682,G. McCrayCF,4,0,1,0,0,0,2,.241,.267,.448,aJ. TurnerPH-1B,2,1,1,1,0,1,1,.207,.313,.276
19683,A. KnappC,4,0,1,0,0,0,1,.250,.250,.250,D. MoorePR,0,1,0,0,0,0,0,.200,.310,.374
19684,C. SchmittPR,0,0,0,0,0,0,0,.214,.230,.440,J. Rojas3B,5,1,1,1,0,0,2,.227,.305,.343
19685,C. CasaliC,0,0,0,0,0,0,0,.197,.307,.224,L. RivasSS,4,0,2,2,0,1,2,.288,.362,.346
19686,team,38,5,8,5,3,2,18,,,,team,36,6,8,6,1,8,14,,,
19687,gameId: 401570399,,,,,,,,,,,,,,,,,,,,,
19688,M. WinnSS,4,0,2,2,0,0,0,.280,.327,.419,W. CastroSS,3,0,0,0,0,1,0,.254,.336,.402
19689,A. BurlesonLF,3,0,0,0,0,1,1,.276,.313,.459,T. LarnachDH,3,0,0,0,0,0,3,.250,.322,.430
19690,T. PhamPR-LF,1,0,0,0,0,0,0,.228,.318,.421,aJ. MirandaPH-DH,1,0,0,0,0,0,0,.305,.344,.485
19691,W. ContrerasC,5,1,3,0,0,0,1,.263,.379,.470,R. Lewis3B,4,0,1,0,0,0,0,.267,.335,.580
19692,B. Donovan2B,3,2,1,1,1,2,0,.266,.333,.393,M. WallnerLF,3,0,0,0,0,1,0,.250,.385,.558
19693,N. Arenado3B,5,1,1,0,0,0,2,.271,.324,.403,R. JeffersC,3,1,2,0,0,0,0,.237,.316,.474
19694,L. NootbaarRF,5,1,2,2,0,0,1,.234,.330,.383,bK. FarmerPH,1,0,0,0,0,0,1,.194,.287,.290
19695,P. Goldschmidt1B,4,0,0,0,0,1,2,.226,.286,.383,C. Santana1B,4,0,0,0,0,0,0,.237,.323,.423
19696,M. CarpenterDH,0,0,0,0,0,1,0,.250,.338,.397,M. KeplerRF,4,0,1,0,0,0,1,.262,.312,.396
19697,aL. BakerPH-DH,0,0,0,0,0,3,0,.333,.667,1.333,E. Julien2B,2,0,0,0,0,1,1,.217,.320,.359
19698,V. Scott IICF,3,1,0,1,0,1,1,.140,.183,.224,A. MartinCF,3,0,1,1,0,0,0,.257,.325,.353
19699,team,33,6,9,6,1,9,8,,,,team,31,1,5,1,0,3,6,,,
19700,gameId: 401570400,,,,,,,,,,,,,,,,,,,,,
19701,Y. Diaz1B,4,0,0,0,0,0,0,.272,.329,.395,S. OhtaniDH,5,1,2,4,1,0,0,.292,.378,.614
19702,B. Lowe2B,4,0,1,0,0,0,2,.242,.326,.487,M. BettsRF,4,0,0,0,0,0,0,.300,.394,.486
19703,J. Caminero3B,4,2,2,1,1,0,1,.265,.359,.382,F. Freeman1B,4,0,0,0,0,0,1,.287,.386,.482
19704,C. MorelDH,4,1,2,2,1,0,2,.184,.279,.316,T. HernándezLF,3,0,1,0,0,1,1,.265,.330,.484
19705,J. LoweLF,4,0,1,0,0,0,2,.231,.292,.391,W. SmithC,3,1,1,0,0,0,0,.247,.330,.432
19706,J. DeLucaRF,4,0,1,0,0,0,1,.179,.248,.283,T. EdmanCF,4,2,2,0,0,0,1,.267,.267,.333
19707,J. SiriCF,4,0,0,0,0,0,3,.196,.267,.381,M. RojasSS,3,0,1,0,0,0,0,.283,.325,.403
19708,R. BrantlyC,3,0,0,0,0,0,1,.111,.111,.111,G. Lux2B,3,1,0,0,0,1,1,.251,.311,.395
19709,T. WallsSS,3,0,1,0,0,0,1,.171,.285,.230,E. Hernández3B,3,1,2,3,1,0,0,.215,.276,.341
19710,team,34,3,8,3,2,0,13,,,,aM. MuncyPH,0,1,0,0,0,1,0,.235,.339,.523
19711,,,,,,,,,,,,team,32,7,9,7,2,3,4,,,
19712,gameId: 401570401,,,,,,,,,,,,,,,,,,,,,
19713,M. Semien2B,4,1,0,0,0,1,1,.242,.312,.400,S. KwanLF,5,0,0,0,0,0,1,.306,.367,.451
19714,C. SeagerSS,4,0,2,2,0,1,2,.273,.353,.502,D. Schneemann3B,3,0,2,1,0,0,1,.226,.314,.390
19715,J. SmithDH,5,1,2,0,0,0,1,.268,.355,.416,aT. FreemanPH-3B,1,0,0,0,0,0,0,.209,.306,.325
19716,A. GarcíaRF,4,0,1,1,0,0,0,.225,.288,.405,J. RamirezDH,3,0,0,0,0,1,1,.271,.331,.527
19717,N. Lowe1B,4,1,3,0,0,0,0,.254,.349,.372,J. Naylor1B,3,0,0,0,0,1,0,.237,.318,.463
19718,J. Jung3B,4,1,1,0,0,0,0,.255,.275,.439,W. BrennanRF,4,1,1,0,0,0,1,.245,.297,.383
19719,W. LangfordLF,4,0,0,0,0,0,3,.241,.310,.362,A. Gimenez2B,3,1,1,0,0,1,1,.251,.303,.328
19720,T. JankowskiLF,0,0,0,0,0,0,0,.197,.261,.237,L. ThomasCF,3,0,0,1,0,0,2,.111,.197,.159
19721,J. HeimC,4,0,0,0,0,0,1,.228,.275,.342,B. NaylorC,4,0,1,1,0,0,2,.203,.261,.349
19722,L. TaverasCF,4,1,1,2,0,0,1,.229,.286,.349,B. RocchioSS,4,1,2,0,0,0,1,.211,.297,.318
19723,team,37,5,10,5,0,2,9,,,,team,33,3,7,3,0,3,10,,,
19724,gameId: 401570402,,,,,,,,,,,,,,,,,,,,,
19725,A. CallRF,1,0,0,0,0,0,0,.343,.425,.525,M. Harris IICF,5,1,1,1,1,0,0,.247,.294,.365
19726,J. GalloRF,4,0,1,0,0,0,1,.172,.292,.325,J. SolerRF,4,0,0,0,0,0,2,.240,.377,.520
19727,J. WoodLF,4,0,1,0,0,0,0,.288,.376,.453,J. KelenicLF,0,0,0,0,0,0,0,.239,.291,.402
19728,J. Yepez1B,4,1,2,0,0,0,0,.284,.333,.439,M. OzunaDH,4,0,1,0,0,0,1,.308,.379,.588
19729,K. RuizC,4,1,1,0,0,0,0,.229,.261,.371,M. Olson1B,4,0,0,0,0,0,1,.225,.308,.414
19730,A. ChaparroDH,4,0,1,2,0,0,0,.273,.333,.424,R. LaureanoLF-RF,4,0,3,0,0,0,0,.302,.333,.528
19731,I. Vargas2B,4,0,2,0,0,0,0,.254,.305,.331,W. Merrifield2B,4,0,1,0,0,0,1,.257,.373,.400
19732,J. Tena3B,4,0,0,0,0,0,3,.355,.394,.387,S. MurphyC,4,0,0,0,0,0,2,.219,.298,.371
19733,J. YoungCF,3,0,2,0,0,0,0,.251,.312,.324,L. WilliamsPR,0,1,0,0,0,0,0,.118,.211,.118
19734,N. NuñezSS,2,0,0,0,0,1,1,.250,.357,.250,G. Urshela3B,4,1,1,0,0,0,0,.286,.333,.429
19735,aC. AbramsPH-SS,1,0,0,0,0,0,0,.246,.319,.442,O. ArciaSS,3,0,1,1,0,0,0,.225,.272,.354
19736,team,35,2,10,2,0,1,5,,,,team,36,3,8,2,1,0,7,,,
19737,gameId: 401570403,,,,,,,,,,,,,,,,,,,,,
19738,I. HappLF,4,1,0,0,0,1,1,.230,.337,.451,C. Norby3B-2B,4,1,1,1,1,0,2,.300,.333,.600
19739,aL. VazquezPH-SS,0,0,0,0,0,0,0,.000,.500,.000,J. BurgerDH,3,0,0,0,0,1,0,.246,.300,.471
19740,M. Busch1B,5,2,3,2,0,1,0,.258,.346,.449,K. StowersRF,0,0,0,0,0,0,0,.127,.214,.127
19741,S. SuzukiRF,5,3,3,4,2,1,1,.271,.344,.486,J. Bride1B,4,0,0,0,0,0,1,.263,.360,.432
19742,C. BellingerDH,6,0,1,1,0,0,0,.272,.328,.426,O. Lopez2B-SS,4,0,0,0,0,0,1,.238,.278,.320
19743,I. Paredes3B,6,0,1,0,0,0,1,.148,.222,.272,D. HillLF,4,0,0,0,0,0,1,.226,.246,.339
19744,N. Hoerner2B,3,0,1,0,0,1,1,.253,.320,.345,D. HensleyRF-3B,4,1,1,1,1,0,0,.261,.346,.435
19745,bM. TauchmanPH-LF,2,2,2,0,0,0,0,.251,.347,.371,C. PacheCF,3,0,1,0,0,0,0,.192,.250,.346
19746,D. SwansonSS,3,1,0,0,0,1,1,.227,.298,.353,V. BrujanSS-P,2,0,0,0,0,1,0,.222,.311,.329
19747,cP. WisdomPH-2B,1,2,1,2,1,1,0,.203,.272,.447,A. SanchezC,3,0,1,0,0,0,0,.149,.203,.162
19748,P. Crow-ArmstrongCF,4,1,2,3,1,1,1,.220,.270,.386,team,31,2,4,2,2,2,5,,,
19749,M. AmayaC,4,2,3,0,0,1,1,.230,.286,.354,,,,,,,,,,,
19750,team,43,14,17,12,4,8,7,,,,,,,,,,,,,,
19751,gameId: 401570406,,,,,,,,,,,,,,,,,,,,,
19752,J. India2B,5,2,2,0,0,0,0,.250,.352,.394,I. Kiner-Falefa2B,3,0,1,0,0,0,0,.222,.259,.346
19753,E. De La CruzSS,4,3,3,2,0,1,0,.264,.347,.491,A. Williams2B,1,0,0,0,0,0,1,.209,.243,.299
19754,T. StephensonC,3,1,1,1,0,1,0,.254,.332,.463,B. ReynoldsDH,4,0,0,0,0,0,1,.279,.344,.453
19755,L. MaileC,1,0,0,0,0,0,0,.157,.258,.235,C. Joe1B,0,0,0,0,0,0,0,.230,.310,.363
19756,T. FriedlCF,5,1,2,1,0,0,0,.228,.315,.407,O. CruzSS,4,0,1,0,0,0,0,.263,.322,.468
19757,S. SteerLF,3,1,1,2,0,1,0,.235,.326,.432,J. BartC,3,1,0,0,0,1,0,.273,.349,.500
19758,S. FairchildLF,0,0,0,0,0,0,0,.215,.286,.368,R. Tellez1B-P,4,1,1,2,1,0,0,.249,.299,.402
19759,T. France1B,3,0,0,1,0,0,2,.239,.284,.433,B. De La CruzRF,3,0,0,0,0,0,1,.230,.247,.270
19760,D. SmithDH,4,1,1,0,0,0,2,.143,.143,.286,B. McKinneyLF,3,0,0,0,0,0,2,.231,.231,.231
19761,S. Espinal3B,4,0,1,0,0,0,0,.262,.302,.388,J. Triolo3B,3,0,0,0,0,0,0,.197,.283,.285
19762,W. BensonRF,4,1,1,1,0,0,3,.192,.275,.381,J. BaeCF,2,0,0,0,0,1,1,.186,.247,.214
19763,team,36,10,12,8,0,3,7,,,,team,30,2,3,2,1,2,6,,,
19764,gameId: 401570407,,,,,,,,,,,,,,,,,,,,,
19765,M. VierlingRF,3,3,2,1,1,1,0,.258,.302,.443,C. JulksLF,5,1,3,1,0,0,1,.235,.307,.353
19766,A. Ibanez2B,1,1,1,1,0,1,0,.260,.305,.387,L. Robert Jr.CF,5,1,2,1,0,0,2,.225,.281,.419
19767,aJ. JungPH-3B,2,0,0,0,0,1,1,.192,.323,.231,L. Sosa2B,5,0,2,0,0,0,3,.217,.251,.303
19768,R. GreeneLF,4,3,1,1,0,1,0,.263,.354,.485,A. VaughnDH,4,0,2,2,0,0,1,.243,.296,.395
19769,T. SweeneySS,0,0,0,0,0,0,0,.143,.143,.357,G. Sheets1B,3,0,0,0,0,1,1,.240,.314,.375
19770,S. Torkelson1B,5,1,1,1,0,0,2,.212,.278,.356,K. LeeC,3,0,0,0,0,0,1,.220,.252,.364
19771,C. KeithDH,5,1,2,3,1,0,0,.260,.310,.392,aC. RobinsonPH-C,1,0,0,0,0,0,0,.130,.167,.130
19772,J. RogersC,5,2,3,3,0,0,1,.194,.239,.364,M. Vargas3B,4,0,0,0,0,0,1,.086,.206,.155
19773,P. MeadowsCF,5,0,2,1,0,0,1,.224,.301,.401,D. FletcherRF,4,1,2,0,0,0,2,.219,.275,.273
19774,Z. McKinstry3B-2B,5,1,2,2,1,0,0,.207,.265,.338,B. BaldwinSS,4,1,1,0,0,0,1,.202,.245,.317
19775,R. KreidlerSS-LF,4,1,0,0,0,1,1,.125,.208,.188,team,38,4,12,4,0,1,13,,,
19776,team,39,13,14,13,3,5,6,,,,,,,,,,,,,,
19777,gameId: 401570409,,,,,,,,,,,,,,,,,,,,,
19778,J. Altuve2B,3,1,1,1,1,1,0,.299,.353,.447,A. SlaterLF,4,0,0,0,0,0,1,.345,.441,.517
19779,A. Bregman3B,4,0,1,0,0,0,1,.258,.315,.442,A. RutschmanC,3,0,2,0,0,1,0,.265,.329,.423
19780,Y. DiazC,4,0,1,0,0,0,0,.302,.328,.459,G. HendersonSS,4,1,1,0,0,0,2,.284,.370,.548
19781,J. PenaSS,4,1,1,1,1,0,1,.277,.320,.413,A. SantanderRF,4,0,0,0,0,0,2,.236,.303,.522
19782,J. Singleton1B,3,0,0,0,0,1,1,.232,.314,.366,E. JimenezDH,4,1,1,0,0,0,1,.308,.321,.385
19783,V. CaratiniDH,4,0,0,0,0,0,2,.269,.322,.425,C. CowserCF,4,1,1,0,0,0,0,.249,.325,.452
19784,J. MeyersCF,4,0,0,0,0,0,1,.231,.298,.386,E. Rivera3B,1,0,0,0,0,1,1,.000,.500,.000
19785,B. GamelRF,3,0,2,0,0,0,1,.500,.556,.625,aJ. HollidayPH-2B,1,0,1,3,0,0,0,.175,.230,.342
19786,M. DubonLF,3,0,0,0,0,0,1,.248,.278,.354,R. O'Hearn1B,3,0,0,0,0,0,2,.269,.345,.433
19787,team,32,2,6,2,2,2,8,,,,R. Urias2B-3B,3,0,1,0,0,0,1,.246,.316,.404
19788,,,,,,,,,,,,team,31,3,7,3,0,2,10,,,
19789,gameId: 401570410,,,,,,,,,,,,,,,,,,,,,
19790,B. Turang2B,5,1,1,0,0,0,1,.255,.318,.361,L. ButlerRF,3,1,1,0,0,0,0,.243,.303,.455
19791,J. ChourioLF,4,1,1,1,0,1,0,.275,.320,.443,aD. CameronPH-RF,2,0,2,1,0,0,0,.204,.287,.380
19792,W. ContrerasC,5,1,0,1,0,0,2,.284,.358,.464,B. RookerDH,4,1,3,3,1,1,0,.289,.366,.569
19793,W. AdamesSS,3,2,2,0,0,2,0,.251,.339,.444,J. BledayCF,5,1,1,1,1,0,1,.241,.322,.449
19794,J. Bauers1B,3,3,1,2,1,2,2,.205,.312,.397,M. AndujarLF,4,0,1,0,0,0,1,.285,.320,.377
19795,R. HoskinsDH,5,1,2,1,0,0,3,.219,.303,.425,S. LangeliersC,4,0,0,0,0,0,3,.223,.288,.445
19796,G. MitchellRF,5,0,2,2,0,0,1,.242,.336,.358,S. Brown1B,4,0,1,0,0,0,0,.226,.287,.370
19797,B. PerkinsCF,4,0,1,1,0,1,2,.259,.332,.365,T. Nevin3B,3,0,0,0,0,0,1,.205,.302,.335
19798,J. Ortiz3B,3,0,0,0,0,1,1,.247,.344,.405,bA. ToroPH,1,0,0,0,0,0,1,.240,.293,.350
19799,team,37,9,10,8,1,7,12,,,,Z. Gelof2B,4,2,3,0,0,0,1,.203,.271,.363
19800,,,,,,,,,,,,M. SchuemannSS,4,0,0,0,0,0,0,.228,.325,.315
19801,,,,,,,,,,,,team,38,5,12,5,2,1,8,,,
19802,gameId: 401570411,,,,,,,,,,,,,,,,,,,,,
19803,K. SchwarberDH,5,1,2,0,0,0,2,.246,.372,.470,M. Garcia3B,3,0,0,0,0,0,1,.235,.283,.337
19804,T. TurnerSS,5,1,3,2,0,0,0,.302,.343,.466,bA. FrazierPH-3B,1,0,0,0,0,0,0,.214,.290,.299
19805,B. Harper1B,5,0,1,1,0,0,2,.274,.362,.521,B. Witt Jr.SS,4,0,0,0,0,0,1,.346,.395,.606
19806,A. Bohm3B,5,0,0,0,0,0,0,.292,.345,.467,V. Pasquantino1B,4,0,1,0,0,0,1,.267,.321,.452
19807,N. CastellanosRF,4,2,2,0,0,0,1,.251,.305,.413,S. PerezC,3,0,0,0,0,0,0,.274,.332,.471
19808,aW. WilsonPH-LF,1,1,1,0,0,0,0,.353,.370,.647,cP. DeJongPH,1,0,0,0,0,0,0,.304,.365,.565
19809,B. Stott2B,4,2,4,0,0,0,0,.243,.315,.358,H. RenfroeRF,2,1,0,0,0,1,2,.237,.312,.398
19810,bE. SosaPH-2B,1,0,0,0,0,0,0,.275,.325,.445,G. HampsonRF,1,0,0,0,0,0,0,.239,.279,.317
19811,J.T. RealmutoC,5,2,3,7,2,0,0,.262,.320,.413,M. Massey2B,4,1,2,0,0,0,0,.273,.298,.471
19812,B. MarshCF-LF-RF,5,1,1,0,0,0,2,.240,.315,.404,F. FerminDH,2,0,1,2,0,0,1,.305,.353,.427
19813,A. HaysLF,4,0,1,1,0,0,1,.261,.277,.391,D. BlancoLF,1,0,1,0,0,1,0,.264,.305,.400
19814,J. RojasPR-CF,0,1,0,0,0,0,0,.243,.281,.307,aM. MelendezPH-LF,1,0,0,0,0,0,1,.206,.266,.409
19815,team,44,11,18,11,2,0,8,,,,K. IsbelCF,2,0,0,0,0,0,1,.231,.284,.376
19816,,,,,,,,,,,,team,29,2,5,2,0,2,8,,,
19817,gameId: 401570413,,,,,,,,,,,,,,,,,,,,,
19818,T. FitzgeraldSS,4,1,2,1,0,1,1,.303,.359,.578,V. RoblesRF,0,0,0,0,0,0,0,.280,.340,.413
19819,L. Wade Jr.1B,4,0,1,0,0,1,2,.280,.410,.394,aL. RaleyPH-RF,3,1,0,1,0,2,1,.235,.315,.433
19820,H. RamosDH,4,0,0,0,0,0,1,.281,.339,.496,J. RodriguezCF,3,0,1,1,0,2,1,.258,.315,.364
19821,M. ConfortoLF,3,0,0,0,0,1,0,.235,.314,.441,J. Turner1B,4,0,1,0,0,1,2,.210,.319,.274
19822,aM. CanhaPH-LF,1,0,0,0,0,0,0,.317,.383,.366,D. CanzonePR,0,0,0,0,0,0,0,.199,.270,.386
19823,M. Chapman3B,4,0,1,1,0,0,0,.243,.331,.437,R. ArozarenaLF,5,0,1,1,0,0,1,.209,.358,.314
19824,M. YastrzemskiRF,5,2,3,1,1,0,0,.242,.309,.427,J. Polanco2B,2,1,0,0,0,2,0,.218,.306,.360
19825,T. Estrada2B,4,1,2,1,0,0,0,.221,.251,.352,M. HanigerDH,4,0,0,0,0,0,1,.211,.288,.350
19826,G. McCrayCF,4,0,2,0,0,0,0,.273,.294,.455,D. Moore3B,2,1,0,0,0,1,0,.199,.310,.372
19827,C. CasaliC,3,0,0,0,0,0,1,.190,.297,.215,bJ. RojasPH-3B,1,0,0,0,0,0,0,.226,.305,.342
19828,team,36,4,11,4,1,3,5,,,,M. GarverC,2,0,0,0,0,1,2,.164,.287,.325
19829,,,,,,,,,,,,cC. RaleighPH-C,1,0,0,0,0,0,1,.210,.302,.432
19830,,,,,,,,,,,,L. RivasSS,4,0,1,0,0,0,3,.286,.355,.339
19831,,,,,,,,,,,,team,31,3,4,3,0,9,12,,,
19832,gameId: 401570414,,,,,,,,,,,,,,,,,,,,,
19833,M. WinnSS,3,0,1,0,0,0,1,.281,.327,.419,W. CastroSS,3,1,0,0,0,1,1,.253,.335,.400
19834,A. BurlesonLF,4,0,0,0,0,0,2,.274,.310,.454,T. LarnachLF,4,2,3,4,2,0,1,.257,.328,.457
19835,W. ContrerasDH,1,0,0,0,0,0,0,.262,.380,.468,R. Lewis3B,4,1,1,0,0,0,2,.267,.333,.572
19836,aM. CarpenterPH-DH,2,0,0,0,0,0,1,.246,.333,.390,M. WallnerDH,4,1,3,1,1,0,0,.266,.395,.597
19837,B. Donovan2B,4,0,0,0,0,0,1,.264,.331,.389,M. KeplerRF,4,0,0,1,0,0,0,.259,.309,.392
19838,N. Arenado3B,3,0,1,0,0,0,1,.271,.324,.402,J. Miranda1B,3,0,0,0,0,1,1,.302,.343,.480
19839,bJ. FerminPH,0,0,0,0,0,1,0,.149,.259,.213,E. Julien2B,4,0,0,0,0,0,2,.213,.315,.351
19840,L. NootbaarRF,4,0,1,0,0,0,1,.234,.329,.385,C. VazquezC,3,0,0,0,0,0,1,.231,.258,.357
19841,P. Goldschmidt1B,3,0,1,0,0,0,2,.226,.287,.385,A. MartinCF,3,1,2,0,0,0,0,.263,.330,.363
19842,cL. BakerPH,1,0,0,0,0,0,1,.250,.571,1.000,team,32,6,9,6,3,2,8,,,
19843,P. PagesC,3,0,0,0,0,0,2,.244,.293,.356,,,,,,,,,,,
19844,V. Scott IICF,2,0,1,0,0,1,1,.147,.195,.239,,,,,,,,,,,
19845,team,30,0,5,0,0,2,13,,,,,,,,,,,,,,
19846,gameId: 401570415,,,,,,,,,,,,,,,,,,,,,
19847,Y. Diaz1B,5,0,2,1,0,0,0,.273,.330,.395,S. OhtaniDH,4,2,2,2,1,0,0,.294,.379,.619
