Unnamed: 0,away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
209,P. Crow-ArmstrongCF,3,0,1,1,0,1,0,0.143,0.25,0.214,A. ThomasCF,4,1,3,1,0,0,1,0.75,0.75,1.25
210,M. Shaw3B,4,0,0,0,0,0,1,0.118,0.167,0.118,G. PerdomoSS,4,0,1,1,0,0,1,0.286,0.25,0.286
211,C. KellyC,3,0,0,0,0,0,0,0.167,0.286,0.167,J. HerreraC,3,0,0,0,0,0,2,0,0,0
212,team,31,1,3,1,0,4,5,,,,team,37,8,14,8,2,0,7,,,
213,gameId: 401694928,,,,,,,,,,,,,,,,,,,,,
214,G. Torres2B,2,1,1,1,1,1,0,0.429,0.5,0.857,S. OhtaniDH,4,1,1,0,0,1,1,0.375,0.474,0.813
215,J. Baez3B,2,0,0,0,0,0,1,0,0,0,M. BettsSS,5,3,3,4,2,0,0,0.5,0.556,1.25
216,K. CarpenterRF,3,0,1,0,0,0,1,0.25,0.2,0.25,F. Freeman1B,4,1,1,2,1,0,0,0.125,0.125,0.5
217,aM. MargotPH-RF,2,0,1,1,0,0,1,0.6,0.5,0.6,T. HernándezRF,3,0,0,0,0,1,1,0.133,0.235,0.333
218,R. GreeneLF,5,1,2,0,0,0,1,0.3,0.3,0.4,M. Muncy3B,4,0,0,0,0,0,3,0.071,0.188,0.143
